tweet_id,topic1,topic2,title1,title2
853507720565182464,LV001,LV001,Latvia 100,Latvia 100
853508751659323392,LV001,LV001,Latvia 100,Latvia 100
853510439753453568,LV001,LV001,Latvia 100,Latvia 100
853528898495295488,LV001,LV001,Latvia 100,Latvia 100
853538813636902912,LV001,LV001,Latvia 100,Latvia 100
853935653020684288,LV001,LV001,Latvia 100,Latvia 100
854192768184270848,LV001,LV001,Latvia 100,Latvia 100
854249082667364353,LV001,LV001,Latvia 100,Latvia 100
854249588361973760,LV001,LV001,Latvia 100,Latvia 100
854292448331403264,LV001,LV001,Latvia 100,Latvia 100
854424244100489218,LV001,LV001,Latvia 100,Latvia 100
854560128552587266,LV001,LV001,Latvia 100,Latvia 100
854584177240485888,LV001,LV001,Latvia 100,Latvia 100
854590152156565504,LV001,LV001,Latvia 100,Latvia 100
854605608015740928,LV001,LV001,Latvia 100,Latvia 100
854618105535803392,LV001,LV001,Latvia 100,Latvia 100
854619043411750912,LV001,LV001,Latvia 100,Latvia 100
854624011577430017,LV001,LV001,Latvia 100,Latvia 100
854669506676801536,LV001,LV001,Latvia 100,Latvia 100
854721502914256896,LV001,LV001,Latvia 100,Latvia 100
854927480167313408,LV001,LV001,Latvia 100,Latvia 100
854984717753606146,LV001,LV001,Latvia 100,Latvia 100
855018236689211392,LV001,LV001,Latvia 100,Latvia 100
855047582640472066,LV001,LV001,Latvia 100,Latvia 100
855130493817434112,LV001,LV001,Latvia 100,Latvia 100
855290348620267520,LV001,LV001,Latvia 100,Latvia 100
855294660507443202,LV001,LV001,Latvia 100,Latvia 100
855297175013572608,LV001,LV001,Latvia 100,Latvia 100
855300118064406528,LV001,LV001,Latvia 100,Latvia 100
855346192234012673,LV001,LV001,Latvia 100,Latvia 100
855351114400772096,LV001,LV001,Latvia 100,Latvia 100
855443653690576896,LV001,LV001,Latvia 100,Latvia 100
855680863392202752,LV001,LV001,Latvia 100,Latvia 100
855707750105362432,LV001,LV001,Latvia 100,Latvia 100
855725002183856128,LV001,LV001,Latvia 100,Latvia 100
855725757913583618,LV001,LV001,Latvia 100,Latvia 100
